epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.19424,1.53194,3.25369,1.5446,0.00167,0.5,0.08436,0.02531,3.27369,4.07022,2.36406,0,0,0
2,13.8289,1.76235,3.40272,1.64021,0.00167,0.5,0.08436,0.02531,3.27369,4.07022,2.36406,0.000544664,0.000544664,0.000544664
3,23.4433,1.6702,3.27601,1.60613,0.00167,0.5,0.08436,0.02531,3.27369,4.07022,2.36406,0.00106732,0.00106732,0.00106732
4,35.1224,1.59862,3.38939,1.5957,0.00379,1,0.29785,0.14442,1.98697,3.66069,1.72788,0.00156798,0.00156798,0.00156798
5,43.7985,1.25713,2.99893,1.33686,0.00379,1,0.29785,0.14442,1.98697,3.66069,1.72788,0.00153497,0.00153497,0.00153497
6,51.5631,1.35057,3.06386,1.43118,0.00379,1,0.29785,0.14442,1.98697,3.66069,1.72788,0.00150197,0.00150197,0.00150197
7,58.1535,1.28789,2.92839,1.39734,0.00372,1,0.12177,0.07106,1.28149,3.43629,1.43996,0.00146896,0.00146896,0.00146896
8,63.6648,1.46036,3.05879,1.51624,0.00372,1,0.12177,0.07106,1.28149,3.43629,1.43996,0.00143595,0.00143595,0.00143595
9,68.8006,1.53081,3.30233,1.62265,0.00372,1,0.12177,0.07106,1.28149,3.43629,1.43996,0.00140295,0.00140295,0.00140295
10,74.0548,1.42432,2.76028,1.4527,0.00362,1,0.35931,0.21282,1.13848,3.18476,1.40185,0.00136994,0.00136994,0.00136994
11,79.5621,1.21161,2.35548,1.23778,0.00362,1,0.35931,0.21282,1.13848,3.18476,1.40185,0.00133693,0.00133693,0.00133693
12,85.0402,1.16948,2.30975,1.34424,0.00362,1,0.35931,0.21282,1.13848,3.18476,1.40185,0.00130393,0.00130393,0.00130393
13,90.5291,1.06325,2.48822,1.2683,0.00362,1,0.60806,0.32967,1.25998,3.14311,2.35341,0.00127092,0.00127092,0.00127092
14,95.7674,1.32959,2.4521,1.45442,0.00362,1,0.60806,0.32967,1.25998,3.14311,2.35341,0.00123791,0.00123791,0.00123791
15,101.239,1.15291,2.21802,1.26953,0.00362,1,0.60806,0.32967,1.25998,3.14311,2.35341,0.00120491,0.00120491,0.00120491
16,106.585,1.06952,2.31885,1.33446,0.55981,0.85278,0.995,0.53054,1.19513,2.78507,2.00747,0.0011719,0.0011719,0.0011719
17,111.788,0.86318,2.00398,1.19506,0.55981,0.85278,0.995,0.53054,1.19513,2.78507,2.00747,0.00113889,0.00113889,0.00113889
18,116.94,1.0356,2.0279,1.21815,0.55981,0.85278,0.995,0.53054,1.19513,2.78507,2.00747,0.00110589,0.00110589,0.00110589
19,122.46,1.0516,1.73007,1.23732,1,0.43776,0.55969,0.43669,0.96363,2.69293,1.26358,0.00107288,0.00107288,0.00107288
20,127.776,0.94758,1.88373,1.19321,1,0.43776,0.55969,0.43669,0.96363,2.69293,1.26358,0.00103987,0.00103987,0.00103987
21,132.96,0.97188,1.7963,1.18137,1,0.43776,0.55969,0.43669,0.96363,2.69293,1.26358,0.00100687,0.00100687,0.00100687
22,138.33,0.83334,1.89555,1.04834,1,0.48644,0.54273,0.34204,1.18736,2.62351,1.80255,0.000973861,0.000973861,0.000973861
23,143.637,0.83314,1.70676,1.1005,1,0.48644,0.54273,0.34204,1.18736,2.62351,1.80255,0.000940855,0.000940855,0.000940855
24,148.907,1.0484,1.86432,1.0818,1,0.48644,0.54273,0.34204,1.18736,2.62351,1.80255,0.000907848,0.000907848,0.000907848
25,154.32,0.83916,1.75024,1.12791,0.44947,0.5,0.56857,0.30572,1.45608,2.75717,1.96137,0.000874842,0.000874842,0.000874842
26,159.302,0.69627,1.45599,1.05149,0.44947,0.5,0.56857,0.30572,1.45608,2.75717,1.96137,0.000841835,0.000841835,0.000841835
27,164.614,0.80928,1.39467,1.02872,0.44947,0.5,0.56857,0.30572,1.45608,2.75717,1.96137,0.000808828,0.000808828,0.000808828
28,169.976,0.77292,1.66553,1.1742,0.44678,0.54355,0.58042,0.32647,1.60092,2.57295,2.03995,0.000775822,0.000775822,0.000775822
29,175.074,0.71359,1.45027,1.09893,0.44678,0.54355,0.58042,0.32647,1.60092,2.57295,2.03995,0.000742815,0.000742815,0.000742815
30,180.34,0.97443,1.65329,1.1055,0.44678,0.54355,0.58042,0.32647,1.60092,2.57295,2.03995,0.000709809,0.000709809,0.000709809
31,185.571,0.67836,1.29779,1.02304,0.58277,1,0.74625,0.41408,1.4898,2.32486,1.92801,0.000676802,0.000676802,0.000676802
32,190.811,0.66271,1.54526,1.16744,0.58277,1,0.74625,0.41408,1.4898,2.32486,1.92801,0.000643795,0.000643795,0.000643795
33,196.094,0.81061,1.52776,1.11146,0.58277,1,0.74625,0.41408,1.4898,2.32486,1.92801,0.000610789,0.000610789,0.000610789
34,201.255,0.76862,1.41292,1.07768,0.55825,1,0.66333,0.42834,1.44964,2.32692,2.00486,0.000577782,0.000577782,0.000577782
35,206.326,0.67495,1.34521,1.01137,0.55825,1,0.66333,0.42834,1.44964,2.32692,2.00486,0.000544776,0.000544776,0.000544776
36,211.413,0.66036,1.32498,1.00959,0.55825,1,0.66333,0.42834,1.44964,2.32692,2.00486,0.000511769,0.000511769,0.000511769
37,216.513,0.69066,1.40591,1.04681,0.50242,1,0.66333,0.44348,1.35179,2.21319,1.92402,0.000478762,0.000478762,0.000478762
38,221.446,0.65519,1.26141,0.99365,0.50242,1,0.66333,0.44348,1.35179,2.21319,1.92402,0.000445756,0.000445756,0.000445756
39,226.53,0.51606,1.09151,0.95062,0.50242,1,0.66333,0.44348,1.35179,2.21319,1.92402,0.000412749,0.000412749,0.000412749
40,231.669,0.82229,1.5734,1.04654,0.60832,0.97223,0.74625,0.49722,1.24382,2.01016,1.79544,0.000379743,0.000379743,0.000379743
41,236.755,0.63181,1.98561,0.98274,0.60832,0.97223,0.74625,0.49722,1.24382,2.01016,1.79544,0.000346736,0.000346736,0.000346736
42,242.044,0.77216,2.10936,1.06569,0.60832,0.97223,0.74625,0.49722,1.24382,2.01016,1.79544,0.000313729,0.000313729,0.000313729
43,247.363,0.67426,2.15856,0.9538,0.59753,0.98119,0.74625,0.49722,1.19385,1.83348,1.68217,0.000280723,0.000280723,0.000280723
44,252.312,0.65998,1.95971,1.00085,0.59753,0.98119,0.74625,0.49722,1.19385,1.83348,1.68217,0.000247716,0.000247716,0.000247716
45,257.459,0.63955,1.92379,1.02549,0.59753,0.98119,0.74625,0.49722,1.19385,1.83348,1.68217,0.00021471,0.00021471,0.00021471
46,262.553,0.72342,1.93717,1.02254,0.57609,0.95318,0.74625,0.53726,1.13219,1.79955,1.57859,0.000181703,0.000181703,0.000181703
47,267.703,0.64152,1.74134,1.04102,0.57609,0.95318,0.74625,0.53726,1.13219,1.79955,1.57859,0.000148696,0.000148696,0.000148696
48,272.747,0.5958,1.8065,0.96445,0.57609,0.95318,0.74625,0.53726,1.13219,1.79955,1.57859,0.00011569,0.00011569,0.00011569
49,278.172,0.61418,1.85495,1.01465,0.57428,0.95001,0.74625,0.55032,1.10332,1.79574,1.52088,8.26832e-05,8.26832e-05,8.26832e-05
50,283.385,0.66336,1.97934,0.98819,0.57428,0.95001,0.74625,0.55032,1.10332,1.79574,1.52088,4.96766e-05,4.96766e-05,4.96766e-05
