epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.3084,1.1484,3.20517,1.44201,0.00363,1,0.32536,0.21131,0.84712,3.40089,1.33129,0.000423407,0.000423407,0.000423407
2,71.6529,0.90403,2.63414,1.19941,0.00354,1,0.30768,0.21069,0.92411,3.1938,1.42842,0.000884895,0.000884895,0.000884895
3,109.116,0.78422,2.30409,1.14483,0.20319,0.74405,0.41839,0.33741,0.85722,2.96935,1.41826,0.00133066,0.00133066,0.00133066
4,149.906,0.81423,2.17281,1.12222,0.4494,0.04167,0.3356,0.23942,0.90125,3.018,1.33838,0.00135826,0.00135826,0.00135826
5,184.085,0.73379,1.95927,1.11847,0.70558,0.20749,0.35085,0.24485,1.12047,3.09305,1.44266,0.00133469,0.00133469,0.00133469
6,219.017,0.78031,2.05939,1.20951,0.45875,0.35275,0.35901,0.24391,1.30819,2.91155,1.68336,0.00131111,0.00131111,0.00131111
7,254.653,0.76982,1.96841,1.08871,0.34523,0.49206,0.45447,0.26727,1.24924,2.68856,1.68459,0.00128753,0.00128753,0.00128753
8,290.266,0.82918,1.95562,1.13756,0.38812,0.59067,0.42074,0.23268,1.31263,2.78888,1.77838,0.00126395,0.00126395,0.00126395
9,326.205,0.66693,1.75645,1.07166,0.48468,0.53073,0.55775,0.31343,1.42438,2.71418,2.11362,0.00124037,0.00124037,0.00124037
10,363.31,0.73713,1.68591,1.06497,0.37234,0.76525,0.53856,0.31264,1.39856,2.4553,1.80502,0.00121679,0.00121679,0.00121679
11,396.214,0.65311,1.56595,1.02592,0.56125,0.549,0.53062,0.32332,1.18531,2.34186,1.49625,0.00119322,0.00119322,0.00119322
12,432.039,0.65744,1.60444,1.07586,0.42899,0.79458,0.54655,0.38452,1.0833,2.21613,1.34624,0.00116964,0.00116964,0.00116964
13,468.141,0.66874,1.53644,1.04078,0.47053,0.79365,0.59431,0.48259,0.92112,2.14036,1.21896,0.00114606,0.00114606,0.00114606
14,503.647,0.70854,1.71231,1.11733,0.50794,0.68157,0.58308,0.45423,0.79102,2.35668,1.16924,0.00112248,0.00112248,0.00112248
15,537.406,0.70109,1.58563,1.09911,0.64127,0.84127,0.71119,0.57066,0.76945,2.15543,1.15385,0.0010989,0.0010989,0.0010989
16,569.545,0.66093,1.46181,1.08438,0.70498,0.84921,0.80153,0.648,0.76395,1.627,1.15005,0.00107532,0.00107532,0.00107532
17,600.331,0.60013,1.35097,1.02837,0.71813,0.64087,0.68034,0.57703,0.83301,2.17735,1.19619,0.00105174,0.00105174,0.00105174
18,628.971,0.62639,1.37451,1.04925,0.85244,0.64087,0.6991,0.62113,0.81196,2.17476,1.1914,0.00102817,0.00102817,0.00102817
19,656.556,0.60961,1.3972,1.05963,0.79771,0.7381,0.785,0.65141,0.73322,1.72533,1.14074,0.00100459,0.00100459,0.00100459
20,684.476,0.6612,1.29701,1.04129,0.62108,0.80393,0.79031,0.63472,0.80641,1.89167,1.17087,0.000981008,0.000981008,0.000981008
21,712.535,0.61005,1.31522,1.00814,0.68498,0.81444,0.84404,0.66216,0.85805,1.76447,1.22671,0.00095743,0.00095743,0.00095743
22,742.852,0.53975,1.22033,0.97405,0.77135,0.84921,0.86517,0.70949,0.79318,1.58618,1.18933,0.000933851,0.000933851,0.000933851
23,771.982,0.5528,1.248,0.99665,0.92252,0.87617,0.87886,0.72551,0.79357,1.49639,1.2016,0.000910273,0.000910273,0.000910273
