epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7656,1.63834,3.40389,1.74749,0.00387,1,0.21743,0.07494,1.02639,3.87257,1.70552,0.00035725,0.00035725,0.00035725
2,33.2344,1.09926,3.11336,1.34061,0.0035,0.93333,0.22644,0.11692,1.26369,4.072,1.6697,0.000819829,0.000819829,0.000819829
3,54.2807,1.1044,3.03547,1.34408,0.0035,0.93333,0.22644,0.11692,1.26369,4.072,1.6697,0.00126669,0.00126669,0.00126669
4,74.4602,0.92033,2.7849,1.33448,0.00306,0.83333,0.38462,0.20039,1.03612,3.67523,1.54157,0.00135826,0.00135826,0.00135826
5,91.3526,0.94395,2.8663,1.40217,0.00306,0.83333,0.38462,0.20039,1.03612,3.67523,1.54157,0.00133469,0.00133469,0.00133469
6,108.194,1.06066,2.56964,1.37688,0.75368,0.13053,0.30796,0.14622,1.23834,3.84929,1.79084,0.00131111,0.00131111,0.00131111
7,124.548,1.14496,2.65817,1.39617,0.01574,0.93333,0.18335,0.09583,2.12246,4.01083,2.37851,0.00128753,0.00128753,0.00128753
8,140.957,0.93337,2.45291,1.37144,0.01574,0.93333,0.18335,0.09583,2.12246,4.01083,2.37851,0.00126395,0.00126395,0.00126395
9,157.97,0.84982,2.28481,1.2207,0.00365,1,0.15975,0.07745,1.84912,4.25196,2.34165,0.00124037,0.00124037,0.00124037
10,173.787,0.87607,2.38759,1.26099,0.00365,1,0.15975,0.07745,1.84912,4.25196,2.34165,0.00121679,0.00121679,0.00121679
11,190.284,0.82209,2.3194,1.36095,0.53245,0.13333,0.32127,0.15879,2.08935,4.57184,2.2935,0.00119322,0.00119322,0.00119322
12,206.324,0.83114,2.12124,1.20108,0.53245,0.13333,0.32127,0.15879,2.08935,4.57184,2.2935,0.00116964,0.00116964,0.00116964
13,222.825,0.73972,2.06863,1.24323,0.16804,0.36667,0.32973,0.21123,1.2732,3.80209,1.8578,0.00114606,0.00114606,0.00114606
14,238.741,0.72664,2.03987,1.23075,0.48084,0.38859,0.38537,0.23695,1.36486,4.76652,2.24798,0.00112248,0.00112248,0.00112248
15,251.239,0.91585,2.30703,1.37733,0.48084,0.38859,0.38537,0.23695,1.36486,4.76652,2.24798,0.0010989,0.0010989,0.0010989
16,264.901,0.73646,2.01184,1.13961,0.43676,0.56376,0.29077,0.18644,1.32732,7.29562,3.10622,0.00107532,0.00107532,0.00107532
17,277.824,0.72196,1.96043,1.1559,0.43676,0.56376,0.29077,0.18644,1.32732,7.29562,3.10622,0.00105174,0.00105174,0.00105174
18,290.564,0.7167,1.79556,1.15841,0.30246,0.63484,0.28989,0.19096,1.27696,6.82069,2.4851,0.00102817,0.00102817,0.00102817
19,303.055,0.75057,1.90946,1.23273,0.30246,0.63484,0.28989,0.19096,1.27696,6.82069,2.4851,0.00100459,0.00100459,0.00100459
20,315.741,0.70125,1.77522,1.08693,0.37064,0.86345,0.5383,0.39934,0.79347,3.23454,1.43449,0.000981008,0.000981008,0.000981008
21,329.157,0.80093,2.06539,1.15601,0.55502,0.6543,0.57114,0.4657,0.68362,2.66846,1.27817,0.00095743,0.00095743,0.00095743
22,342.736,0.69016,1.78576,1.18567,0.55502,0.6543,0.57114,0.4657,0.68362,2.66846,1.27817,0.000933851,0.000933851,0.000933851
23,355.746,0.65133,1.6476,1.09322,0.74966,0.51252,0.64741,0.47897,0.71542,2.49089,1.32196,0.000910273,0.000910273,0.000910273
24,368.524,0.74511,1.80344,1.16773,0.74966,0.51252,0.64741,0.47897,0.71542,2.49089,1.32196,0.000886694,0.000886694,0.000886694
25,384.836,0.61835,1.75763,1.04412,0.7911,0.55029,0.67619,0.51266,0.81472,2.36925,1.44131,0.000863116,0.000863116,0.000863116
26,400.632,0.5954,1.55035,1.08255,0.7911,0.55029,0.67619,0.51266,0.81472,2.36925,1.44131,0.000839537,0.000839537,0.000839537
27,416.348,0.66756,1.79148,1.08391,0.68305,0.71917,0.79958,0.62072,0.83287,2.32541,1.36865,0.000815959,0.000815959,0.000815959
28,432.241,0.68055,1.84118,1.19661,0.6571,0.76667,0.77775,0.61179,0.81808,2.18923,1.26164,0.00079238,0.00079238,0.00079238
29,444.149,0.72158,1.75589,1.15384,0.6571,0.76667,0.77775,0.61179,0.81808,2.18923,1.26164,0.000768802,0.000768802,0.000768802
30,455.921,0.61345,1.63072,1.15633,0.64765,0.90725,0.81292,0.61727,0.75771,2.21663,1.17287,0.000745223,0.000745223,0.000745223
31,468.011,0.66136,1.64925,1.08973,0.64765,0.90725,0.81292,0.61727,0.75771,2.21663,1.17287,0.000721645,0.000721645,0.000721645
32,479.993,0.67748,1.78564,1.12604,0.79797,0.76153,0.83241,0.65044,0.75855,2.0498,1.18445,0.000698066,0.000698066,0.000698066
33,492.112,0.66053,1.61666,1.11729,0.79797,0.76153,0.83241,0.65044,0.75855,2.0498,1.18445,0.000674488,0.000674488,0.000674488
34,504.396,0.70765,1.73998,1.1452,0.83247,0.75527,0.85397,0.68476,0.83051,2.08276,1.33562,0.000650909,0.000650909,0.000650909
35,516.859,0.71023,1.64632,1.06105,0.83432,0.70953,0.83305,0.67828,0.69246,2.29041,1.16414,0.000627331,0.000627331,0.000627331
36,528.732,0.63327,1.55952,1.06909,0.83432,0.70953,0.83305,0.67828,0.69246,2.29041,1.16414,0.000603752,0.000603752,0.000603752
37,541.585,0.57036,1.64771,1.06385,0.85878,0.7268,0.77796,0.60994,0.71732,2.08526,1.1327,0.000580174,0.000580174,0.000580174
38,554.213,0.73416,1.70616,1.08327,0.85878,0.7268,0.77796,0.60994,0.71732,2.08526,1.1327,0.000556595,0.000556595,0.000556595
39,566.357,0.60262,1.50392,1.09448,0.70762,0.75556,0.69081,0.58744,0.60701,2.14746,1.0539,0.000533017,0.000533017,0.000533017
40,578.347,0.56584,1.46807,1.08722,0.70762,0.75556,0.69081,0.58744,0.60701,2.14746,1.0539,0.000509438,0.000509438,0.000509438
41,590.505,0.61827,1.5592,0.99894,0.64525,0.73586,0.70857,0.5912,0.56661,2.34238,1.04908,0.00048586,0.00048586,0.00048586
42,602.474,0.50153,1.37573,0.97467,0.77604,0.53744,0.68538,0.56524,0.55128,2.33793,1.04055,0.000462281,0.000462281,0.000462281
43,614.572,0.5907,1.40655,1.01634,0.77604,0.53744,0.68538,0.56524,0.55128,2.33793,1.04055,0.000438703,0.000438703,0.000438703
44,627.139,0.49276,1.37168,1.00465,0.7884,0.53079,0.63875,0.55244,0.57004,2.20482,1.0151,0.000415124,0.000415124,0.000415124
45,639.272,0.57938,1.34699,0.99904,0.7884,0.53079,0.63875,0.55244,0.57004,2.20482,1.0151,0.000391546,0.000391546,0.000391546
46,651.373,0.55761,1.37902,0.98459,0.78275,0.54453,0.67944,0.56856,0.58453,2.11001,0.99497,0.000367967,0.000367967,0.000367967
47,664.473,0.54132,1.43853,1.07879,0.78275,0.54453,0.67944,0.56856,0.58453,2.11001,0.99497,0.000344389,0.000344389,0.000344389
48,676.745,0.57816,1.39928,1.04521,0.74349,0.73336,0.73689,0.63072,0.58178,1.94229,0.9848,0.00032081,0.00032081,0.00032081
49,688.938,0.51158,1.4341,1.00921,0.77839,0.75191,0.84753,0.70176,0.59125,1.71739,0.99465,0.000297232,0.000297232,0.000297232
50,701.596,0.52403,1.24624,0.96088,0.77839,0.75191,0.84753,0.70176,0.59125,1.71739,0.99465,0.000273654,0.000273654,0.000273654
51,714.116,0.53362,1.80255,1.06849,0.77836,0.75143,0.8331,0.69513,0.5626,1.68659,0.96708,0.000250075,0.000250075,0.000250075
52,725.749,0.53877,1.83416,1.09753,0.77836,0.75143,0.8331,0.69513,0.5626,1.68659,0.96708,0.000226497,0.000226497,0.000226497
53,737.525,0.5273,1.7553,0.99444,0.81922,0.7005,0.84103,0.70377,0.53706,1.64135,0.96602,0.000202918,0.000202918,0.000202918
54,749.412,0.4582,1.69962,0.99154,0.81922,0.7005,0.84103,0.70377,0.53706,1.64135,0.96602,0.00017934,0.00017934,0.00017934
55,761.185,0.45449,1.65064,0.97056,0.71471,0.97447,0.895,0.73147,0.52025,1.63421,0.9662,0.000155761,0.000155761,0.000155761
56,773.021,0.51883,1.92571,0.99264,0.8657,0.70235,0.84222,0.71174,0.51397,1.64291,0.96699,0.000132183,0.000132183,0.000132183
57,785.325,0.43986,1.56024,1.01708,0.8657,0.70235,0.84222,0.71174,0.51397,1.64291,0.96699,0.000108604,0.000108604,0.000108604
58,797.314,0.43436,1.63313,0.96556,0.85009,0.71435,0.85397,0.72756,0.5064,1.65346,0.96544,8.50255e-05,8.50255e-05,8.50255e-05
59,808.98,0.409,1.68198,0.94399,0.85009,0.71435,0.85397,0.72756,0.5064,1.65346,0.96544,6.1447e-05,6.1447e-05,6.1447e-05
60,820.724,0.49407,1.56494,0.9964,0.82695,0.73775,0.85397,0.72756,0.50336,1.64399,0.96582,3.78685e-05,3.78685e-05,3.78685e-05
