epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1177,1.59687,4.84734,3.39897,1.51674,0,0.00399,1,0.20979,0.13176,0.0034,0.91667,0.20913,0.11581,1.30239,2.61163,3.52317,1.31674,0,0.000317556,0.000317556,0.000317556
2,27.7329,1.01768,2.57003,3.16532,1.2167,0,0.00387,1,0.53688,0.46358,0.00332,0.91667,0.52015,0.44885,0.75502,2.76114,3.40863,1.0775,0,0.000786029,0.000786029,0.000786029
3,39.4114,1.11674,1.83798,3.28418,1.26633,0,0.00387,1,0.53688,0.46358,0.00332,0.91667,0.52015,0.44885,0.75502,2.76114,3.40863,1.0775,0,0.00124507,0.00124507,0.00124507
4,51.5656,1.27552,1.40155,3.0574,1.35116,0,0.00334,0.83333,0.40054,0.10663,0.00278,0.75,0.26149,0.09444,2.21227,8.34266,3.68263,1.95974,0,0.00138656,0.00138656,0.00138656
5,63.4109,1.79269,1.1695,3.06491,1.66177,0,0.00334,0.83333,0.40054,0.10663,0.00278,0.75,0.26149,0.09444,2.21227,8.34266,3.68263,1.95974,0,0.00137241,0.00137241,0.00137241
6,74.9937,1.80497,1.13681,2.78854,1.59783,0,0.00385,1,0.10644,0.03783,0.00147,0.41667,0.03876,0.00884,1.98143,12.997,3.93724,2.09738,0,0.00135826,0.00135826,0.00135826
7,86.4277,1.34238,1.04561,2.90085,1.49623,0,0.00385,1,0.10644,0.03783,0.00147,0.41667,0.03876,0.00884,1.98143,12.997,3.93724,2.09738,0,0.00134412,0.00134412,0.00134412
8,97.9284,1.21524,1.03234,2.75644,1.37714,0,0.00385,1,0.10644,0.03783,0.00147,0.41667,0.03876,0.00884,1.98143,12.997,3.93724,2.09738,0,0.00132997,0.00132997,0.00132997
9,109.298,1.2241,1.22058,2.54545,1.31963,0,0.00387,1,0.27743,0.13887,0.00332,0.91667,0.20065,0.11527,1.25141,1.71052,3.31037,1.93397,0,0.00131582,0.00131582,0.00131582
10,120.57,1.06292,1.70884,2.4154,1.25604,0,0.00387,1,0.27743,0.13887,0.00332,0.91667,0.20065,0.11527,1.25141,1.71052,3.31037,1.93397,0,0.00130168,0.00130168,0.00130168
11,132.016,0.98552,1.18715,2.39815,1.21833,0,0.00389,1,0.27416,0.1122,0.00334,0.91667,0.22269,0.1307,1.48666,0.86229,3.50278,1.93762,0,0.00128753,0.00128753,0.00128753
12,143.597,1.1499,0.7307,2.48377,1.23313,0,0.00389,1,0.27416,0.1122,0.00334,0.91667,0.22269,0.1307,1.48666,0.86229,3.50278,1.93762,0,0.00127338,0.00127338,0.00127338
13,155.063,0.94291,0.52651,2.32262,1.09948,0,0.00396,1,0.52417,0.21376,0.00345,0.91667,0.37811,0.21831,1.39842,2.05278,3.26982,1.54449,0,0.00125923,0.00125923,0.00125923
14,166.541,0.98524,0.64114,2.14901,1.14473,0,0.00396,1,0.52417,0.21376,0.00345,0.91667,0.37811,0.21831,1.39842,2.05278,3.26982,1.54449,0,0.00124509,0.00124509,0.00124509
15,177.97,1.11635,1.46637,2.36713,1.22089,0,0.00396,1,0.52417,0.21376,0.00345,0.91667,0.37811,0.21831,1.39842,2.05278,3.26982,1.54449,0,0.00123094,0.00123094,0.00123094
16,189.414,1.07387,0.84697,2.35433,1.18899,0,0.26176,0.58333,0.66251,0.32924,0.25929,0.75,0.5727,0.34576,0.97299,1.76513,3.01301,1.25316,0,0.00121679,0.00121679,0.00121679
17,200.952,1.01891,0.97409,2.11518,1.17181,0,0.26176,0.58333,0.66251,0.32924,0.25929,0.75,0.5727,0.34576,0.97299,1.76513,3.01301,1.25316,0,0.00120265,0.00120265,0.00120265
18,212.71,0.91037,0.65758,2.09316,1.11496,0,0.83897,0.54958,0.69711,0.38434,0.69414,0.5,0.62151,0.46245,0.94518,5.04458,2.72977,1.26843,0,0.0011885,0.0011885,0.0011885
19,225.767,0.82617,0.79632,1.88747,1.06807,0,0.83897,0.54958,0.69711,0.38434,0.69414,0.5,0.62151,0.46245,0.94518,5.04458,2.72977,1.26843,0,0.00117435,0.00117435,0.00117435
20,238.062,0.92516,0.89928,1.92645,1.14446,0,0.54195,0.82067,0.84917,0.65578,0.54195,0.82067,0.84222,0.66272,0.67638,7.74638,2.09089,1.06615,0,0.00116021,0.00116021,0.00116021
21,251.066,0.80863,0.73683,1.98706,1.10251,0,0.54195,0.82067,0.84917,0.65578,0.54195,0.82067,0.84222,0.66272,0.67638,7.74638,2.09089,1.06615,0,0.00114606,0.00114606,0.00114606
22,263.451,0.84739,0.81853,1.74358,1.0763,0,0.54195,0.82067,0.84917,0.65578,0.54195,0.82067,0.84222,0.66272,0.67638,7.74638,2.09089,1.06615,0,0.00113191,0.00113191,0.00113191
23,277.144,0.71632,0.38808,1.5637,1.03208,0,0.55944,0.9213,0.91167,0.5234,0.54871,0.88696,0.86405,0.55757,0.79482,13.9233,2.32484,1.06426,0,0.00111776,0.00111776,0.00111776
24,288.67,1.14214,0.92724,2.19298,1.11215,0,0.55944,0.9213,0.91167,0.5234,0.54871,0.88696,0.86405,0.55757,0.79482,13.9233,2.32484,1.06426,0,0.00110362,0.00110362,0.00110362
25,299.758,0.78125,0.8654,1.6562,1.03895,0,0.363,0.66667,0.55271,0.40054,0.363,0.66667,0.55114,0.42425,1.15169,23.7213,2.68376,1.24684,0,0.00108947,0.00108947,0.00108947
26,310.772,0.75614,0.57732,1.73811,1.03595,0,0.363,0.66667,0.55271,0.40054,0.363,0.66667,0.55114,0.42425,1.15169,23.7213,2.68376,1.24684,0,0.00107532,0.00107532,0.00107532
27,321.688,0.75995,0.8525,1.57745,0.99232,0,0.84479,0.5,0.80978,0.6029,0.84479,0.5,0.80849,0.63793,1.05053,24.0657,2.4024,1.06674,0,0.00106118,0.00106118,0.00106118
28,332.698,0.83893,0.4627,1.5601,0.99394,0,0.84479,0.5,0.80978,0.6029,0.84479,0.5,0.80849,0.63793,1.05053,24.0657,2.4024,1.06674,0,0.00104703,0.00104703,0.00104703
29,343.118,0.78688,0.74763,1.59939,1.00373,0,0.84479,0.5,0.80978,0.6029,0.84479,0.5,0.80849,0.63793,1.05053,24.0657,2.4024,1.06674,0,0.00103288,0.00103288,0.00103288
30,353.635,0.7043,0.49948,1.57296,1.0059,0,0.41033,0.75,0.77175,0.73122,0.41033,0.75,0.81444,0.74181,0.67863,25.0033,2.31082,0.93984,0,0.00101873,0.00101873,0.00101873
31,365.086,0.63757,0.40517,1.61499,1.02392,0,0.41033,0.75,0.77175,0.73122,0.41033,0.75,0.81444,0.74181,0.67863,25.0033,2.31082,0.93984,0,0.00100459,0.00100459,0.00100459
32,376.155,0.80175,0.75968,1.54353,1.07663,0,0.66666,0.83173,0.76033,0.66523,0.66666,0.83173,0.74583,0.65,0.63446,10.9953,1.88218,0.90601,0,0.00099044,0.00099044,0.00099044
33,387.109,0.84183,0.62688,1.75488,1.09063,0,0.66666,0.83173,0.76033,0.66523,0.66666,0.83173,0.74583,0.65,0.63446,10.9953,1.88218,0.90601,0,0.000976293,0.000976293,0.000976293
34,398.089,0.81448,0.71069,1.45456,1.03612,0,0.78005,0.91667,0.92208,0.84829,0.78005,0.91667,0.91167,0.82867,0.54183,6.33946,1.70519,0.90629,0,0.000962146,0.000962146,0.000962146
35,409.649,0.68669,0.57588,1.22958,0.97,0,0.78005,0.91667,0.92208,0.84829,0.78005,0.91667,0.91167,0.82867,0.54183,6.33946,1.70519,0.90629,0,0.000947999,0.000947999,0.000947999
36,420.37,0.86612,1.19726,1.78449,1.04578,0,0.78005,0.91667,0.92208,0.84829,0.78005,0.91667,0.91167,0.82867,0.54183,6.33946,1.70519,0.90629,0,0.000933851,0.000933851,0.000933851
37,431.314,0.70883,0.61828,1.4894,1.00193,0,0.903,0.8707,0.92357,0.81028,0.903,0.8707,0.91167,0.87425,0.55686,8.16548,1.6306,0.89255,0,0.000919704,0.000919704,0.000919704
38,442.194,0.87181,0.49266,1.54434,1.04823,0,0.903,0.8707,0.92357,0.81028,0.903,0.8707,0.91167,0.87425,0.55686,8.16548,1.6306,0.89255,0,0.000905557,0.000905557,0.000905557
39,453.375,0.78682,0.6325,1.46213,1.03709,0,0.82952,0.86141,0.91497,0.80755,0.82952,0.86141,0.91167,0.848,0.55254,8.99391,1.80398,0.87891,0,0.00089141,0.00089141,0.00089141
40,464.334,0.66239,0.55625,1.32308,0.97881,0,0.82952,0.86141,0.91497,0.80755,0.82952,0.86141,0.91167,0.848,0.55254,8.99391,1.80398,0.87891,0,0.000877263,0.000877263,0.000877263
41,475.899,0.65073,0.52638,1.36903,1.0366,0,0.85208,0.90262,0.91478,0.62266,0.85208,0.90262,0.91167,0.78717,0.60637,7.48309,1.42476,0.92257,0,0.000863116,0.000863116,0.000863116
42,486.935,0.63215,0.38844,1.24574,0.98092,0,0.85208,0.90262,0.91478,0.62266,0.85208,0.90262,0.91167,0.78717,0.60637,7.48309,1.42476,0.92257,0,0.000848969,0.000848969,0.000848969
43,498.079,0.81728,0.6223,1.42294,1.01105,0,0.85208,0.90262,0.91478,0.62266,0.85208,0.90262,0.91167,0.78717,0.60637,7.48309,1.42476,0.92257,0,0.000834822,0.000834822,0.000834822
44,509.232,0.76354,0.69674,1.66726,1.00878,0,0.7871,0.88842,0.7506,0.56578,0.93942,0.86406,0.91167,0.77331,0.59035,6.98881,1.39209,0.90565,0,0.000820675,0.000820675,0.000820675
45,519.991,0.69695,0.48557,1.35542,0.94615,0,0.7871,0.88842,0.7506,0.56578,0.93942,0.86406,0.91167,0.77331,0.59035,6.98881,1.39209,0.90565,0,0.000806528,0.000806528,0.000806528
46,530.948,0.89378,0.88177,1.49138,1.04315,0,0.87528,0.91667,0.92357,0.6409,0.87528,0.91667,0.91167,0.76217,0.61656,7.42361,1.26988,0.99016,0,0.00079238,0.00079238,0.00079238
47,542.574,0.79787,0.53009,1.46985,1.04583,0,0.87528,0.91667,0.92357,0.6409,0.87528,0.91667,0.91167,0.76217,0.61656,7.42361,1.26988,0.99016,0,0.000778233,0.000778233,0.000778233
48,553.448,0.64789,0.48451,1.25842,0.96978,0,0.89581,0.91667,0.9325,0.74272,0.89581,0.91667,0.91167,0.8285,0.69955,9.87808,1.08318,1.04069,0,0.000764086,0.000764086,0.000764086
49,564.089,0.69614,0.56245,1.29383,0.97694,0,0.89581,0.91667,0.9325,0.74272,0.89581,0.91667,0.91167,0.8285,0.69955,9.87808,1.08318,1.04069,0,0.000749939,0.000749939,0.000749939
